system:time_start,NDVI
19-Oct-19,0.56
19-Oct-19,0.465
24-Oct-19,0.576
24-Oct-19,0.401
27-Oct-19,0.588
29-Oct-19,0.603
29-Oct-19,0.476
29-Oct-19,0.079
1-Nov-19,0.538
3-Nov-19,0.567
3-Nov-19,0.439
3-Nov-19,0.065
3-Nov-19,0.646
8-Nov-19,0.492
8-Nov-19,0.346
11-Nov-19,0.565
13-Nov-19,0.529
16-Nov-19,0.518
18-Nov-19,0.476
1-Dec-19,0.435
3-Dec-19,0.456
8-Dec-19,0.405
7-Jan-20,0.364
10-Jan-20,0.551
12-Jan-20,0.5
20-Jan-20,0.366
22-Jan-20,0.582
1-Feb-20,0.571
4-Feb-20,0.573
26-Feb-20,0.533
26-Feb-20,0.456
29-Feb-20,0.542
7-Mar-20,0.535
7-Mar-20,0.328
10-Mar-20,0.424
12-Mar-20,0.49
12-Mar-20,0.485
12-Mar-20,0.684
24-Apr-20,0.628
14-May-20,0.523
19-May-20,0.499
5-Jun-20,0.522
20-Jun-20,0.522
3-Jul-20,0.603
8-Jul-20,0.572
10-Jul-20,0.443
10-Jul-20,0.453
13-Jul-20,0.52
15-Jul-20,0.466
15-Jul-20,0.469
15-Jul-20,0.664
18-Jul-20,0.557
23-Jul-20,0.624
28-Jul-20,0.385
30-Jul-20,0.446
4-Aug-20,0.487
4-Aug-20,0.393
4-Aug-20,-0.04
4-Aug-20,0.466
7-Aug-20,0.465
9-Aug-20,0.434
9-Aug-20,-0.018
9-Aug-20,0.759
12-Aug-20,0.635
14-Aug-20,0.534
14-Aug-20,0.47
14-Aug-20,0.074
14-Aug-20,0.529
19-Aug-20,0.402
22-Aug-20,0.586
24-Aug-20,0.554
24-Aug-20,0.492
24-Aug-20,0.083
24-Aug-20,0.688
3-Sep-20,0.519
3-Sep-20,0.476
3-Sep-20,0.094
3-Sep-20,0.549
6-Sep-20,0.496
11-Sep-20,0.516
13-Sep-20,0.604
13-Sep-20,0.411
13-Sep-20,0.116
13-Sep-20,0.622
18-Sep-20,0.53
18-Sep-20,0.443
18-Sep-20,0.103
21-Sep-20,0.571
23-Sep-20,0.531
23-Sep-20,0.477
26-Sep-20,0.542
28-Sep-20,0.523
28-Sep-20,0.422
28-Sep-20,0.492
1-Oct-20,0.608
3-Oct-20,0.582
3-Oct-20,0.474
6-Oct-20,0.599
8-Oct-20,0.569
8-Oct-20,0.538
11-Oct-20,0.572
16-Oct-20,0.534
18-Oct-20,0.592
18-Oct-20,0.511
21-Oct-20,0.568
23-Oct-20,0.579
23-Oct-20,0.519
23-Oct-20,0.01
23-Oct-20,0.711
26-Oct-20,0.549
12-Nov-20,0.531
12-Nov-20,0.432
15-Nov-20,0.414
27-Nov-20,0.567
2-Dec-20,0.499
2-Dec-20,0.456
5-Dec-20,0.544
25-Dec-20,0.458
27-Dec-20,0.546
