system:time_start,ARVI
16-Jun-19,0.605
16-Jun-19,0.676
16-Jun-19,0.368
16-Jun-19,0.834
18-Jun-19,0.589
21-Jun-19,0.334
21-Jun-19,0.536
21-Jun-19,0.288
23-Jun-19,0.474
28-Jun-19,
1-Jul-19,0.443
1-Jul-19,0.573
1-Jul-19,0.293
1-Jul-19,0.705
3-Jul-19,0.581
8-Jul-19,0.633
11-Jul-19,0.487
11-Jul-19,0.635
11-Jul-19,0.279
11-Jul-19,0.731
13-Jul-19,0.693
18-Jul-19,
21-Jul-19,0.653
21-Jul-19,0.744
21-Jul-19,0.277
21-Jul-19,0.86
23-Jul-19,0.737
26-Jul-19,0.851
28-Jul-19,0.626
31-Jul-19,0.659
31-Jul-19,0.373
2-Aug-19,0.633
5-Aug-19,0.322
5-Aug-19,0.78
10-Aug-19,0.638
10-Aug-19,0.738
10-Aug-19,0.346
10-Aug-19,0.855
12-Aug-19,0.667
15-Aug-19,0.614
15-Aug-19,0.715
15-Aug-19,0.828
20-Aug-19,0.698
25-Aug-19,0.65
25-Aug-19,0.736
25-Aug-19,0.346
25-Aug-19,0.834
27-Aug-19,0.603
30-Aug-19,0.29
30-Aug-19,0.791
1-Sep-19,0.692
4-Sep-19,0.711
4-Sep-19,0.762
4-Sep-19,0.288
4-Sep-19,0.864
6-Sep-19,0.722
9-Sep-19,0.755
9-Sep-19,0.839
9-Sep-19,0.435
9-Sep-19,0.892
14-Sep-19,0.656
14-Sep-19,0.378
16-Sep-19,0.79
19-Sep-19,0.872
19-Sep-19,1.023
19-Sep-19,0.932
29-Sep-19,0.856
29-Sep-19,1.042
29-Sep-19,0.519
29-Sep-19,0.958
1-Oct-19,0.97
6-Oct-19,0.796
9-Oct-19,0.633
11-Oct-19,0.708
14-Oct-19,0.904
14-Oct-19,1.004
14-Oct-19,0.425
14-Oct-19,0.971
16-Oct-19,0.956
19-Oct-19,0.871
19-Oct-19,0.036
19-Oct-19,0.932
24-Oct-19,0.879
26-Oct-19,0.832
29-Oct-19,1.063
31-Oct-19,1.096
3-Nov-19,0.902
3-Nov-19,0.98
3-Nov-19,0.241
3-Nov-19,1.022
5-Nov-19,0.983
8-Nov-19,0.913
8-Nov-19,1.068
8-Nov-19,0.327
8-Nov-19,0.972
13-Nov-19,1.136
13-Nov-19,1.224
13-Nov-19,0.331
13-Nov-19,1.04
15-Nov-19,1.143
18-Nov-19,1.051
23-Nov-19,0.94
23-Nov-19,1.212
23-Nov-19,0.374
28-Nov-19,1.103
28-Nov-19,0.44
28-Nov-19,1.102
3-Dec-19,1.262
3-Dec-19,0.506
13-Dec-19,1.11
13-Dec-19,1.023
13-Dec-19,0.985
13-Dec-19,0.48
13-Dec-19,1.115
18-Dec-19,0.967
18-Dec-19,1.155
18-Dec-19,1
28-Dec-19,1.091
30-Dec-19,1.054
2-Jan-20,0.978
2-Jan-20,1.212
2-Jan-20,0.548
2-Jan-20,0.471
4-Jan-20,0.943
7-Jan-20,0.96
7-Jan-20,1.05
7-Jan-20,0.47
7-Jan-20,1.041
9-Jan-20,0.99
12-Jan-20,0.938
12-Jan-20,1.03
12-Jan-20,0.425
12-Jan-20,1.024
17-Jan-20,0.918
17-Jan-20,0.635
17-Jan-20,0.463
17-Jan-20,1.019
24-Jan-20,0.988
27-Jan-20,0.894
27-Jan-20,0.971
27-Jan-20,0.428
27-Jan-20,1.004
29-Jan-20,0.922
1-Feb-20,0.845
1-Feb-20,1.122
1-Feb-20,0.436
1-Feb-20,0.961
6-Feb-20,0.883
6-Feb-20,0.975
6-Feb-20,0.403
6-Feb-20,0.956
8-Feb-20,0.894
11-Feb-20,0.915
11-Feb-20,0.384
13-Feb-20,0.863
16-Feb-20,0.828
16-Feb-20,1.027
16-Feb-20,0.43
16-Feb-20,1.011
18-Feb-20,0.843
26-Feb-20,0.851
26-Feb-20,1.104
26-Feb-20,0.485
26-Feb-20,1.003
28-Feb-20,0.843
28-Feb-20,0.843
2-Mar-20,1.028
4-Mar-20,0.75
7-Mar-20,0.805
12-Mar-20,0.77
12-Mar-20,0.983
12-Mar-20,0.43
12-Mar-20,1.007
14-Mar-20,1.058
17-Mar-20,0.667
17-Mar-20,0.811
17-Mar-20,0.468
17-Mar-20,0.288
22-Mar-20,0.659
22-Mar-20,0.841
22-Mar-20,0.451
22-Mar-20,0.88
24-Mar-20,0.666
27-Mar-20,0.686
27-Mar-20,0.662
27-Mar-20,0.489
27-Mar-20,0.941
29-Mar-20,0.674
1-Apr-20,0.434
1-Apr-20,0.892
6-Apr-20,0.617
6-Apr-20,0.762
6-Apr-20,0.475
8-Apr-20,0.629
11-Apr-20,0.577
11-Apr-20,0.694
11-Apr-20,0.468
11-Apr-20,0.793
13-Apr-20,0.601
16-Apr-20,0.572
16-Apr-20,0.675
16-Apr-20,0.775
21-Apr-20,0.529
21-Apr-20,0.776
23-Apr-20,0.607
26-Apr-20,0.376
26-Apr-20,0.772
11-May-20,0.696
11-May-20,0.331
11-May-20,0.805
16-May-20,0.595
16-May-20,0.55
16-May-20,0.352
16-May-20,0.834
18-May-20,0.586
26-May-20,0.492
26-May-20,0.607
26-May-20,0.412
26-May-20,0.814
31-May-20,0.514
31-May-20,0.635
31-May-20,0.424
31-May-20,0.789
2-Jun-20,0.578
5-Jun-20,0.575
10-Jun-20,0.848
15-Jun-20,0.628
20-Jun-20,0.6
20-Jun-20,0.7
20-Jun-20,0.212
20-Jun-20,0.792
22-Jun-20,0.531
25-Jun-20,0.591
25-Jun-20,0.776
